"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"06/10/2024 11:27:30:341 -0500"

"MODEL SETTINGS"
"interest","energy_value","climate_model","capacity_s","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","sun_hrs","ptc_w","soybeans_area","aquifer_thickness","wheat_area","min_aq_thickness","nyear_s","capacity_w","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","38","""RCP4.5""","250","200","1750","1","30","4","1","90","""Repeat Historical""","6","0.003","0","300","125","30","25","2","8","1470","125","25","1","30","0.003"

"""Energy Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","-470000","572000","true","""Wind        ""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Wind        ""","true","0","1","104","89"
"""Solar""","true","0","1","14","89"
"""US$0""","true","2","1","13","89"

"""Wind        """,,,,"""Solar""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","104","true","0","0","14","true","0","0","13","true"
"1","520117.51039383","104","true","1","51341.71595413695","14","true","1","0","13","true"
"2","-127152.88960617","104","true","2","49677.31595413695","14","true","2","0","13","true"
"3","-127152.88960617","104","true","3","48029.55995413693","14","true","3","0","13","true"
"4","-127152.88960617","104","true","4","46398.281514136936","14","true","4","0","13","true"
"5","-127152.88960617","104","true","5","44783.315858536924","14","true","5","0","13","true"
"6","-127152.88960617","104","true","6","-18415.500140507065","14","true","6","0","13","true"
"7","-288970.48960617","104","true","7","-19998.32797956065","14","true","7","0","13","true"
"8","-288970.48960617","104","true","8","-21565.32754022369","14","true","8","0","13","true"
"9","-288970.48960617","104","true","9","-23116.657105280086","14","true","9","0","13","true"
"10","-288970.48960617","104","true","10","-24652.473374685913","14","true","10","0","13","true"
"11","-340884.08960616996","104","true","11","-26172.93148139768","14","true","11","0","13","true"
"12","-347475.11360617005","104","true","12","-27678.18500704234","14","true","12","0","13","true"
"13","-354000.22736617003","104","true","13","-29168.385997430567","14","true","13","0","13","true"
"14","-360460.0899885701","104","true","14","-30643.684977914876","14","true","14","0","13","true"
"15","-366855.35398474603","104","true","15","-32104.230968594347","14","true","15","0","13","true"
"16","-373186.6653409604","104","true","16","-33550.17149936705","14","true","16","0","13","true"
"17","-379454.66358361254","104","true","17","-34981.652624832","14","true","17","0","13","true"
"18","-385659.9818438381","104","true","18","-36398.81893904231","14","true","18","0","13","true"
"19","-391803.2469214614","104","true","19","-37801.81359011054","14","true","19","0","13","true"
"20","-397885.0793483085","104","true","20","-39190.77829466807","14","true","20","0","13","true"
"21","-403906.0934508871","104","true","21","-40565.85335218001","14","true","21","0","13","true"
"22","-409866.89741244004","104","true","22","-41927.17765911683","14","true","22","0","13","true"
"23","-415768.0933343773","104","true","23","-43274.888722984324","14","true","23","0","13","true"
"24","-421610.27729709516","104","true","24","-44609.1226762131","14","true","24","0","13","true"
"25","-427394.03942018596","104","true","25","-45930.014289909595","14","true","25","0","13","true"
"26","-433119.9639220458","104","true","26","51341.71595413695","14","true","26","0","13","true"
"27","-438788.629178887","104","true","27","49677.31595413695","14","true","27","0","13","true"
"28","-444400.60778315994","104","true","28","48029.55995413693","14","true","28","0","13","true"
"29","-449956.46660139004","104","true","29","46398.281514136936","14","true","29","0","13","true"
"30","-455456.7668314378","104","true","30","44783.315858536924","14","true","30","0","13","true"
"31","520117.51039383","104","true","31","-18415.500140507065","14","true","31","0","13","true"
"32","-127152.88960617","104","true","32","-19998.32797956065","14","true","32","0","13","true"
"33","-127152.88960617","104","true","33","-21565.32754022369","14","true","33","0","13","true"
"34","-127152.88960617","104","true","34","-23116.657105280086","14","true","34","0","13","true"
"35","-127152.88960617","104","true","35","-24652.473374685913","14","true","35","0","13","true"
"36","-127152.88960617","104","true","36","-26172.93148139768","14","true","36","0","13","true"
"37","-288970.48960617","104","true","37","-27678.18500704234","14","true","37","0","13","true"
"38","-288970.48960617","104","true","38","-29168.385997430567","14","true","38","0","13","true"
"39","-288970.48960617","104","true","39","-30643.684977914876","14","true","39","0","13","true"
"40","-288970.48960617","104","true","40","-32104.230968594347","14","true","40","0","13","true"
"41","-340884.08960616996","104","true","41","-33550.17149936705","14","true","41","0","13","true"
"42","-347475.11360617005","104","true","42","-34981.652624832","14","true","42","0","13","true"
"43","-354000.22736617003","104","true","43","-36398.81893904231","14","true","43","0","13","true"
"44","-360460.0899885701","104","true","44","-37801.81359011054","14","true","44","0","13","true"
"45","-366855.35398474603","104","true","45","-39190.77829466807","14","true","45","0","13","true"
"46","-373186.6653409604","104","true","46","-40565.85335218001","14","true","46","0","13","true"
"47","-379454.66358361254","104","true","47","-41927.17765911683","14","true","47","0","13","true"
"48","-385659.9818438381","104","true","48","-43274.888722984324","14","true","48","0","13","true"
"49","-391803.2469214614","104","true","49","-44609.1226762131","14","true","49","0","13","true"
"50","-397885.0793483085","104","true","50","-45930.014289909595","14","true","50","0","13","true"
"51","-403906.0934508871","104","true","51","51341.71595413695","14","true","51","0","13","true"
"52","-409866.89741244004","104","true","52","49677.31595413695","14","true","52","0","13","true"
"53","-415768.0933343773","104","true","53","48029.55995413693","14","true","53","0","13","true"
"54","-421610.27729709516","104","true","54","46398.281514136936","14","true","54","0","13","true"
"55","-427394.03942018596","104","true","55","44783.315858536924","14","true","55","0","13","true"
"56","-433119.9639220458","104","true","56","-18415.500140507065","14","true","56","0","13","true"
"57","-438788.629178887","104","true","57","-19998.32797956065","14","true","57","0","13","true"
"58","-444400.60778315994","104","true","58","-21565.32754022369","14","true","58","0","13","true"
"59","-449956.46660139004","104","true","59","-23116.657105280086","14","true","59","0","13","true"
"60","-455456.7668314378","104","true","60","-24652.473374685913","14","true","60","0","13","true"
"61","520117.51039383","104","true","61","-26172.93148139768","14","true","61","0","13","true"
"62","-127152.88960617","104","true","62","-27678.18500704234","14","true","62","0","13","true"
"63","-127152.88960617","104","true","63","-29168.385997430567","14","true","63","0","13","true"
"64","-127152.88960617","104","true","64","-30643.684977914876","14","true","64","0","13","true"
"65","-127152.88960617","104","true","65","-32104.230968594347","14","true","65","0","13","true"
"66","-127152.88960617","104","true","66","-33550.17149936705","14","true","66","0","13","true"
"67","-288970.48960617","104","true","67","-34981.652624832","14","true","67","0","13","true"
"68","-288970.48960617","104","true","68","-36398.81893904231","14","true","68","0","13","true"
"69","-288970.48960617","104","true","69","-37801.81359011054","14","true","69","0","13","true"
"70","-288970.48960617","104","true","70","-39190.77829466807","14","true","70","0","13","true"
"71","-340884.08960616996","104","true","71","-40565.85335218001","14","true","71","0","13","true"
"72","-347475.11360617005","104","true","72","-41927.17765911683","14","true","72","0","13","true"
"73","-354000.22736617003","104","true","73","-43274.888722984324","14","true","73","0","13","true"
"74","-360460.0899885701","104","true","74","-44609.1226762131","14","true","74","0","13","true"
"75","-366855.35398474603","104","true","75","-45930.014289909595","14","true","75","0","13","true"
"76","-373186.6653409604","104","true","76","51341.71595413695","14","true","76","0","13","true"
"77","-379454.66358361254","104","true","77","49677.31595413695","14","true","77","0","13","true"
"78","-385659.9818438381","104","true","78","48029.55995413693","14","true","78","0","13","true"
"79","-391803.2469214614","104","true","79","46398.281514136936","14","true","79","0","13","true"
"80","-397885.0793483085","104","true","80","44783.315858536924","14","true","80","0","13","true"
"81","-403906.0934508871","104","true","81","-18415.500140507065","14","true","81","0","13","true"
"82","-409866.89741244004","104","true","82","-19998.32797956065","14","true","82","0","13","true"
"83","-415768.0933343773","104","true","83","-21565.32754022369","14","true","83","0","13","true"
"84","-421610.27729709516","104","true","84","-23116.657105280086","14","true","84","0","13","true"
"85","-427394.03942018596","104","true","85","-24652.473374685913","14","true","85","0","13","true"
"86","-433119.9639220458","104","true","86","-26172.93148139768","14","true","86","0","13","true"
"87","-438788.629178887","104","true","87","-27678.18500704234","14","true","87","0","13","true"
"88","-444400.60778315994","104","true","88","-29168.385997430567","14","true","88","0","13","true"
"89","-449956.46660139004","104","true","89","-30643.684977914876","14","true","89","0","13","true"
