"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"06/03/2024 11:38:23:117 -0500"

"MODEL SETTINGS"
"interest","energy_value","climate_model","capacity_s","corn_area","cost_s","nyear_w","degrade_s","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","sun_hrs","soybeans_area","ptc_w","min_aq_thickness","wheat_area","capacity_w","nyear_s","sg_area","cost_w","#panel_sets","wind_factor","degrade_w","itc_s","ptc_s"
"2","38","""RCP4.5""","250","200","1750","30","0.5","2","1","90","""Repeat Historical""","200","5.6","0","0","30","125","2","25","125","1470","3","42.1","1","0","0"

"""Income From Crop Insurance"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","98200","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","2","1","44","89"
"""Wheat""","true","2","1","24","89"
"""Soybeans""","true","2","1","53","89"
"""SG""","true","2","1","32","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","44","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","0","44","true","1","0","24","true","1","0","53","true","1","0","32","true"
"2","0","44","true","2","0","24","true","2","0","53","true","2","0","32","true"
"3","0","44","true","3","0","24","true","3","0","53","true","3","0","32","true"
"4","0","44","true","4","0","24","true","4","0","53","true","4","0","32","true"
"5","0","44","true","5","0","24","true","5","0","53","true","5","0","32","true"
"6","0","44","true","6","0","24","true","6","0","53","true","6","0","32","true"
"7","0","44","true","7","0","24","true","7","0","53","true","7","0","32","true"
"8","0","44","true","8","0","24","true","8","0","53","true","8","0","32","true"
"9","0","44","true","9","0","24","true","9","0","53","true","9","0","32","true"
"10","0","44","true","10","0","24","true","10","0","53","true","10","0","32","true"
"11","0","44","true","11","0","24","true","11","0","53","true","11","0","32","true"
"12","0","44","true","12","0","24","true","12","0","53","true","12","0","32","true"
"13","0","44","true","13","0","24","true","13","0","53","true","13","0","32","true"
"14","0","44","true","14","0","24","true","14","0","53","true","14","0","32","true"
"15","0","44","true","15","0","24","true","15","0","53","true","15","0","32","true"
"16","0","44","true","16","0","24","true","16","0","53","true","16","0","32","true"
"17","0","44","true","17","0","24","true","17","0","53","true","17","0","32","true"
"18","0","44","true","18","0","24","true","18","0","53","true","18","0","32","true"
"19","0","44","true","19","0","24","true","19","0","53","true","19","0","32","true"
"20","0","44","true","20","0","24","true","20","0","53","true","20","0","32","true"
"21","0","44","true","21","0","24","true","21","0","53","true","21","0","32","true"
"22","0","44","true","22","0","24","true","22","0","53","true","22","0","32","true"
"23","0","44","true","23","0","24","true","23","0","53","true","23","0","32","true"
"24","0","44","true","24","0","24","true","24","0","53","true","24","0","32","true"
"25","0","44","true","25","0","24","true","25","0","53","true","25","0","32","true"
"26","0","44","true","26","0","24","true","26","0","53","true","26","0","32","true"
"27","0","44","true","27","0","24","true","27","0","53","true","27","0","32","true"
"28","0","44","true","28","0","24","true","28","0","53","true","28","0","32","true"
"29","0","44","true","29","0","24","true","29","0","53","true","29","0","32","true"
"30","0","44","true","30","0","24","true","30","0","53","true","30","0","32","true"
"31","0","44","true","31","0","24","true","31","0","53","true","31","0","32","true"
"32","0","44","true","32","0","24","true","32","0","53","true","32","0","32","true"
"33","0","44","true","33","0","24","true","33","0","53","true","33","0","32","true"
"34","0","44","true","34","0","24","true","34","0","53","true","34","0","32","true"
"35","0","44","true","35","0","24","true","35","0","53","true","35","0","32","true"
"36","0","44","true","36","0","24","true","36","0","53","true","36","0","32","true"
"37","0","44","true","37","0","24","true","37","0","53","true","37","0","32","true"
"38","0","44","true","38","0","24","true","38","0","53","true","38","0","32","true"
"39","0","44","true","39","0","24","true","39","0","53","true","39","0","32","true"
"40","0","44","true","40","0","24","true","40","0","53","true","40","0","32","true"
"41","0","44","true","41","0","24","true","41","0","53","true","41","0","32","true"
"42","0","44","true","42","0","24","true","42","0","53","true","42","0","32","true"
"43","0","44","true","43","0","24","true","43","0","53","true","43","0","32","true"
"44","0","44","true","44","0","24","true","44","0","53","true","44","0","32","true"
"45","0","44","true","45","0","24","true","45","0","53","true","45","0","32","true"
"46","89302.00000000001","44","true","46","35854.799999999996","24","true","46","0","53","true","46","0","32","true"
"47","19858.79999999999","44","true","47","28968.324999999997","24","true","47","0","53","true","47","0","32","true"
"48","0","44","true","48","0","24","true","48","0","53","true","48","2216.9500000000007","32","true"
"49","0","44","true","49","0","24","true","49","0","53","true","49","3365.8875000000007","32","true"
"50","0","44","true","50","22519.425","24","true","50","0","53","true","50","0","32","true"
"51","50511.20000000001","44","true","51","0","24","true","51","0","53","true","51","3570.5249999999996","32","true"
"52","0","44","true","52","0","24","true","52","0","53","true","52","0","32","true"
"53","22008.600000000006","44","true","53","15132.375","24","true","53","0","53","true","53","1648.625000000001","32","true"
"54","40940.600000000006","44","true","54","0","24","true","54","0","53","true","54","0","32","true"
"55","17179.60000000001","44","true","55","7883.425000000001","24","true","55","0","53","true","55","0","32","true"
"56","20827.600000000006","44","true","56","11868.425000000001","24","true","56","0","53","true","56","0","32","true"
"57","0","44","true","57","9293.425000000001","24","true","57","0","53","true","57","0","32","true"
"58","0","44","true","58","0","24","true","58","0","53","true","58","0","32","true"
"59","0","44","true","59","0","24","true","59","0","53","true","59","0","32","true"
"60","0","44","true","60","9767.175000000001","24","true","60","0","53","true","60","0","32","true"
"61","15779.600000000006","44","true","61","0","24","true","61","0","53","true","61","0","32","true"
"62","0","44","true","62","0","24","true","62","0","53","true","62","0","32","true"
"63","5013.600000000006","44","true","63","8938.425000000001","24","true","63","0","53","true","63","0","32","true"
"64","31979.600000000006","44","true","64","0","24","true","64","0","53","true","64","0","32","true"
"65","17179.60000000001","44","true","65","7883.425000000001","24","true","65","0","53","true","65","0","32","true"
"66","20827.600000000006","44","true","66","11868.425000000001","24","true","66","0","53","true","66","0","32","true"
"67","0","44","true","67","9293.425000000001","24","true","67","0","53","true","67","0","32","true"
"68","0","44","true","68","0","24","true","68","0","53","true","68","0","32","true"
"69","0","44","true","69","0","24","true","69","0","53","true","69","0","32","true"
"70","0","44","true","70","9767.175000000001","24","true","70","0","53","true","70","0","32","true"
"71","15779.600000000006","44","true","71","0","24","true","71","0","53","true","71","0","32","true"
"72","0","44","true","72","0","24","true","72","0","53","true","72","0","32","true"
"73","0","44","true","73","0","24","true","73","0","53","true","73","0","32","true"
"74","0","44","true","74","0","24","true","74","0","53","true","74","0","32","true"
"75","0","44","true","75","0","24","true","75","0","53","true","75","0","32","true"
"76","0","44","true","76","0","24","true","76","0","53","true","76","0","32","true"
"77","0","44","true","77","0","24","true","77","0","53","true","77","0","32","true"
"78","0","44","true","78","0","24","true","78","0","53","true","78","0","32","true"
"79","0","44","true","79","0","24","true","79","0","53","true","79","0","32","true"
"80","0","44","true","80","0","24","true","80","0","53","true","80","0","32","true"
"81","76529.00000000001","44","true","81","0","24","true","81","0","53","true","81","11581.45","32","true"
"82","23063.000000000015","44","true","82","21638.700000000004","24","true","82","0","53","true","82","3382.699999999997","32","true"
"83","55813.20000000001","44","true","83","30435.075000000004","24","true","83","0","53","true","83","11675.037500000002","32","true"
"84","74745.20000000001","44","true","84","12280.150000000001","24","true","84","0","53","true","84","9180.9625","32","true"
"85","50984.20000000001","44","true","85","23186.124999999996","24","true","85","0","53","true","85","7572.337500000001","32","true"
"86","43940.79999999999","44","true","86","23102.55","24","true","86","0","53","true","86","0","32","true"
"87","0","44","true","87","16216.075000000004","24","true","87","0","53","true","87","0","32","true"
"88","0","44","true","88","0","24","true","88","0","53","true","88","0","32","true"
"89","0","44","true","89","0","24","true","89","0","53","true","89","0","32","true"
