"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 14:27:25:512 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP4.5""","150","1100","1","30","4","1","90","""Wetter Future""","200","0.03","200","8","2","30","200","25","8","1350","200","42","1","30","0.03"

"""Energy Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","1370000","true","""Wind        ""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Wind        ""","true","0","1","104","89"
"""Solar""","true","0","1","14","89"
"""US$0""","true","2","1","13","89"

"""Wind        """,,,,"""Solar""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","104","true","0","0","14","true","0","0","13","true"
"1","1244844.799341272","104","true","1","177081.07859974322","14","true","1","0","13","true"
"2","650412.7993412722","104","true","2","174453.07859974322","14","true","2","0","13","true"
"3","650412.7993412722","104","true","3","171851.35859974325","14","true","3","0","13","true"
"4","650412.7993412722","104","true","4","169275.65579974328","14","true","4","0","13","true"
"5","650412.7993412722","104","true","5","166725.71002774328","14","true","5","0","13","true"
"6","650412.7993412722","104","true","6","125481.26371346327","14","true","6","0","13","true"
"7","501804.7993412722","104","true","7","122982.06186232605","14","true","7","0","13","true"
"8","501804.7993412722","104","true","8","120507.85202970024","14","true","8","0","13","true"
"9","501804.7993412722","104","true","9","118058.38429540067","14","true","9","0","13","true"
"10","501804.7993412722","104","true","10","115633.4112384441","14","true","10","0","13","true"
"11","360258.8793412723","104","true","11","113232.68791205707","14","true","11","0","13","true"
"12","347146.2105412722","104","true","12","110855.97181893393","14","true","12","0","13","true"
"13","334164.66842927213","104","true","13","108503.02288674205","14","true","13","0","13","true"
"14","321312.9417383921","104","true","14","106173.60344387204","14","true","14","0","13","true"
"15","308589.732314421","104","true","15","103867.47819543077","14","true","15","0","13","true"
"16","295993.7549846895","104","true","16","101584.41419947389","14","true","16","0","13","true"
"17","283523.73742825526","104","true","17","99324.18084347658","14","true","17","0","13","true"
"18","271178.4200473855","104","true","18","97086.54982103925","14","true","18","0","13","true"
"19","258956.5558403245","104","true","19","94871.29510882628","14","true","19","0","13","true"
"20","246856.9102753339","104","true","20","92678.19294373546","14","true","20","0","13","true"
"21","234878.26116599317","104","true","21","90507.02180029554","14","true","21","0","13","true"
"22","223019.3985477459","104","true","22","88357.56236829","14","true","22","0","13","true"
"23","211279.12455568125","104","true","23","86229.59753060454","14","true","23","0","13","true"
"24","199656.25330353703","104","true","24","84122.91234129595","14","true","24","0","13","true"
"25","188149.61076391453","104","true","25","82037.29400388041","14","true","25","0","13","true"
"26","176758.03464968794","104","true","26","177081.07859974322","14","true","26","0","13","true"
"27","165480.37429660384","104","true","27","174453.07859974322","14","true","27","0","13","true"
"28","154315.4905470506","104","true","28","171851.35859974325","14","true","28","0","13","true"
"29","143262.25563499273","104","true","29","169275.65579974328","14","true","29","0","13","true"
"30","132319.55307205569","104","true","30","166725.71002774328","14","true","30","0","13","true"
"31","1244844.799341272","104","true","31","125481.26371346327","14","true","31","0","13","true"
"32","650412.7993412722","104","true","32","122982.06186232605","14","true","32","0","13","true"
"33","650412.7993412722","104","true","33","120507.85202970024","14","true","33","0","13","true"
"34","650412.7993412722","104","true","34","118058.38429540067","14","true","34","0","13","true"
"35","650412.7993412722","104","true","35","115633.4112384441","14","true","35","0","13","true"
"36","650412.7993412722","104","true","36","113232.68791205707","14","true","36","0","13","true"
"37","501804.7993412722","104","true","37","110855.97181893393","14","true","37","0","13","true"
"38","501804.7993412722","104","true","38","108503.02288674205","14","true","38","0","13","true"
"39","501804.7993412722","104","true","39","106173.60344387204","14","true","39","0","13","true"
"40","501804.7993412722","104","true","40","103867.47819543077","14","true","40","0","13","true"
"41","360258.8793412723","104","true","41","101584.41419947389","14","true","41","0","13","true"
"42","347146.2105412722","104","true","42","99324.18084347658","14","true","42","0","13","true"
"43","334164.66842927213","104","true","43","97086.54982103925","14","true","43","0","13","true"
"44","321312.9417383921","104","true","44","94871.29510882628","14","true","44","0","13","true"
"45","308589.732314421","104","true","45","92678.19294373546","14","true","45","0","13","true"
"46","295993.7549846895","104","true","46","90507.02180029554","14","true","46","0","13","true"
"47","283523.73742825526","104","true","47","88357.56236829","14","true","47","0","13","true"
"48","271178.4200473855","104","true","48","86229.59753060454","14","true","48","0","13","true"
"49","258956.5558403245","104","true","49","84122.91234129595","14","true","49","0","13","true"
"50","246856.9102753339","104","true","50","82037.29400388041","14","true","50","0","13","true"
"51","234878.26116599317","104","true","51","177081.07859974322","14","true","51","0","13","true"
"52","223019.3985477459","104","true","52","174453.07859974322","14","true","52","0","13","true"
"53","211279.12455568125","104","true","53","171851.35859974325","14","true","53","0","13","true"
"54","199656.25330353703","104","true","54","169275.65579974328","14","true","54","0","13","true"
"55","188149.61076391453","104","true","55","166725.71002774328","14","true","55","0","13","true"
"56","176758.03464968794","104","true","56","125481.26371346327","14","true","56","0","13","true"
"57","165480.37429660384","104","true","57","122982.06186232605","14","true","57","0","13","true"
"58","154315.4905470506","104","true","58","120507.85202970024","14","true","58","0","13","true"
"59","143262.25563499273","104","true","59","118058.38429540067","14","true","59","0","13","true"
"60","132319.55307205569","104","true","60","115633.4112384441","14","true","60","0","13","true"
"61","1244844.799341272","104","true","61","113232.68791205707","14","true","61","0","13","true"
"62","650412.7993412722","104","true","62","110855.97181893393","14","true","62","0","13","true"
"63","650412.7993412722","104","true","63","108503.02288674205","14","true","63","0","13","true"
"64","650412.7993412722","104","true","64","106173.60344387204","14","true","64","0","13","true"
"65","650412.7993412722","104","true","65","103867.47819543077","14","true","65","0","13","true"
"66","650412.7993412722","104","true","66","101584.41419947389","14","true","66","0","13","true"
"67","501804.7993412722","104","true","67","99324.18084347658","14","true","67","0","13","true"
"68","501804.7993412722","104","true","68","97086.54982103925","14","true","68","0","13","true"
"69","501804.7993412722","104","true","69","94871.29510882628","14","true","69","0","13","true"
