"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 14:15:22:029 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP4.5""","500","1100","1","30","4","1","90","""Dryer Future""","200","0.03","0","8","2","30","125","25","8","1350","125","42","1","30","0.03"

"""Crop Production"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","276","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","213","42.5","true","1","77","24","true","1","0","53","true","1","119","32","true"
"2","251","42.5","true","2","70","24","true","2","0","53","true","2","130","32","true"
"3","206","42.5","true","3","65","24","true","3","0","53","true","3","85","32","true"
"4","144","42.5","true","4","68","24","true","4","0","53","true","4","68","32","true"
"5","168","42.5","true","5","67","24","true","5","0","53","true","5","95","32","true"
"6","205","42.5","true","6","71","24","true","6","0","53","true","6","127","32","true"
"7","207","42.5","true","7","79","24","true","7","0","53","true","7","121","32","true"
"8","233","42.5","true","8","75","24","true","8","0","53","true","8","129","32","true"
"9","233","42.5","true","9","69","24","true","9","0","53","true","9","113","32","true"
"10","223","42.5","true","10","74","24","true","10","0","53","true","10","134","32","true"
"11","213","42.5","true","11","77","24","true","11","0","53","true","11","119","32","true"
"12","213","42.5","true","12","77","24","true","12","0","53","true","12","119","32","true"
"13","168","42.5","true","13","67","24","true","13","0","53","true","13","95","32","true"
"14","168","42.5","true","14","67","24","true","14","0","53","true","14","95","32","true"
"15","168","42.5","true","15","67","24","true","15","0","53","true","15","95","32","true"
"16","144","42.5","true","16","68","24","true","16","0","53","true","16","68","32","true"
"17","168","42.5","true","17","67","24","true","17","0","53","true","17","95","32","true"
"18","168","42.5","true","18","67","24","true","18","0","53","true","18","95","32","true"
"19","205","42.5","true","19","71","24","true","19","0","53","true","19","127","32","true"
"20","233","42.5","true","20","75","24","true","20","0","53","true","20","129","32","true"
"21","213","42.5","true","21","77","24","true","21","0","53","true","21","119","32","true"
"22","168","42.5","true","22","67","24","true","22","0","53","true","22","95","32","true"
"23","168","42.5","true","23","67","24","true","23","0","53","true","23","95","32","true"
"24","168","42.5","true","24","67","24","true","24","0","53","true","24","95","32","true"
"25","205","42.5","true","25","71","24","true","25","0","53","true","25","127","32","true"
"26","233","42.5","true","26","75","24","true","26","0","53","true","26","129","32","true"
"27","168","42.5","true","27","67","24","true","27","0","53","true","27","95","32","true"
"28","144","42.5","true","28","68","24","true","28","0","53","true","28","68","32","true"
"29","168","42.5","true","29","67","24","true","29","0","53","true","29","95","32","true"
"30","213","42.5","true","30","77","24","true","30","0","53","true","30","119","32","true"
"31","213","42.5","true","31","77","24","true","31","0","53","true","31","119","32","true"
"32","168","42.5","true","32","67","24","true","32","0","53","true","32","95","32","true"
"33","168","42.5","true","33","67","24","true","33","0","53","true","33","95","32","true"
"34","213","42.5","true","34","77","24","true","34","0","53","true","34","119","32","true"
"35","168","42.5","true","35","67","24","true","35","0","53","true","35","95","32","true"
"36","233","42.5","true","36","75","24","true","36","0","53","true","36","129","32","true"
"37","168","42.5","true","37","67","24","true","37","0","53","true","37","95","32","true"
"38","205","42.5","true","38","71","24","true","38","0","53","true","38","127","32","true"
"39","168","42.5","true","39","67","24","true","39","0","53","true","39","95","32","true"
"40","144","42.5","true","40","68","24","true","40","0","53","true","40","68","32","true"
"41","213","42.5","true","41","77","24","true","41","0","53","true","41","119","32","true"
"42","144","42.5","true","42","68","24","true","42","0","53","true","42","68","32","true"
"43","213","42.5","true","43","77","24","true","43","0","53","true","43","119","32","true"
"44","23","42.5","true","44","8","24","true","44","0","53","true","44","19","32","true"
"45","23","42.5","true","45","8","24","true","45","0","53","true","45","19","32","true"
"46","32","42.5","true","46","4","24","true","46","0","53","true","46","57","32","true"
"47","23","42.5","true","47","8","24","true","47","0","53","true","47","19","32","true"
"48","132","42.5","true","48","53","24","true","48","0","53","true","48","109","32","true"
"49","23","42.5","true","49","8","24","true","49","0","53","true","49","19","32","true"
"50","23","42.5","true","50","8","24","true","50","0","53","true","50","19","32","true"
"51","41","42.5","true","51","63","24","true","51","0","53","true","51","50","32","true"
"52","23","42.5","true","52","8","24","true","52","0","53","true","52","19","32","true"
"53","41","42.5","true","53","63","24","true","53","0","53","true","53","50","32","true"
"54","23","42.5","true","54","8","24","true","54","0","53","true","54","19","32","true"
"55","132","42.5","true","55","53","24","true","55","0","53","true","55","109","32","true"
"56","23","42.5","true","56","8","24","true","56","0","53","true","56","19","32","true"
"57","32","42.5","true","57","4","24","true","57","0","53","true","57","57","32","true"
"58","23","42.5","true","58","8","24","true","58","0","53","true","58","19","32","true"
"59","14","42.5","true","59","25","24","true","59","0","53","true","59","11","32","true"
"60","23","42.5","true","60","8","24","true","60","0","53","true","60","19","32","true"
