"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 14:13:09:720 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","38","250","""RCP4.5""","150","1100","1","30","4","1","90","""Dryer Future""","200","0.03","200","6","2","30","200","25","8","1350","200","25","1","30","0.03"

"""Total Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","-600000","830000","true","""Crop""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Crop""","true","0","1","54","89"
"""Energy     ""","true","0","1","25","89"
"""All""","true","0","1","0","89"
"""US$0""","true","2","1","13","89"

"""Crop""",,,,"""Energy     """,,,,"""All""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","54","true","0","0","25","true","0","0","0","true","0","0","13","true"
"1","28887.000000000073","54","true","1","631073.0779410156","25","true","1","659960.0779410156","0","true","1","0","13","true"
"2","-13437.499999999985","54","true","2","34976.67794101563","25","true","2","21539.177941015645","0","true","2","0","13","true"
"3","87763.00000000001","54","true","3","33328.92194101561","25","true","3","121091.92194101562","0","true","3","0","13","true"
"4","84666","54","true","4","31697.643501015613","25","true","4","116363.64350101563","0","true","4","0","13","true"
"5","230508","54","true","5","30082.6778454156","25","true","5","260590.6778454156","0","true","5","0","13","true"
"6","130603.50000000001","54","true","6","-10236.138153628388","25","true","6","120367.36184637161","0","true","6","0","13","true"
"7","48632.999999999985","54","true","7","-160426.96599268197","25","true","7","-111793.96599268199","0","true","7","0","13","true"
"8","-13929.499999999956","54","true","8","-161993.965553345","25","true","8","-175923.46555334498","0","true","8","0","13","true"
"9","-64126.999999999956","54","true","9","-163545.2951184014","25","true","9","-227672.29511840135","0","true","9","0","13","true"
"10","-28962.999999999956","54","true","10","-165081.11138780724","25","true","10","-194044.1113878072","0","true","10","0","13","true"
"11","176218","54","true","11","-265819.169494519","25","true","11","-89601.169494519","0","true","11","0","13","true"
"12","162488","54","true","12","-273915.44702016376","25","true","12","-111427.44702016375","0","true","12","0","13","true"
"13","224478","54","true","13","-281930.7617705519","25","true","13","-57452.76177055189","0","true","13","0","13","true"
"14","163354","54","true","14","-289865.9233734363","25","true","14","-126511.92337343631","0","true","14","0","13","true"
"15","71705.5","54","true","15","-297721.7333602917","25","true","15","-226016.2333602917","0","true","15","0","13","true"
"16","82423.00000000007","54","true","16","-305498.98524727876","25","true","16","-223075.98524727864","0","true","16","0","13","true"
"17","143594","54","true","17","-313198.4646153959","25","true","17","-169604.46461539587","0","true","17","0","13","true"
"18","19820.500000000044","54","true","18","-320820.94918983174","25","true","18","-301000.44918983174","0","true","18","0","13","true"
"19","40602","54","true","19","-328367.2089185233","25","true","19","-287765.2089185233","0","true","19","0","13","true"
"20","29797.000000000087","54","true","20","-335838.0060499279","25","true","20","-306041.0060499279","0","true","20","0","13","true"
"21","211614","54","true","21","-343234.09521001845","25","true","21","-131620.09521001845","0","true","21","0","13","true"
"22","114091.00000000007","54","true","22","-350556.2234785082","25","true","22","-236465.22347850818","0","true","22","0","13","true"
"23","55850.500000000044","54","true","23","-357805.13046431297","25","true","23","-301954.63046431297","0","true","23","0","13","true"
"24","45165.759999999995","54","true","24","-364981.5483802596","25","true","24","-319815.7883802596","0","true","24","0","13","true"
"25","182248","54","true","25","-372086.2021170469","25","true","25","-189838.20211704692","0","true","25","0","13","true"
"26","156078.00000000003","54","true","26","-303420.3963748602","25","true","26","-147342.39637486017","0","true","26","0","13","true"
"27","96717.00000000007","54","true","27","-310753.4616317014","25","true","27","-214036.46163170127","0","true","27","0","13","true"
"28","110637.50000000001","54","true","28","-318013.1962359743","25","true","28","-207375.69623597432","0","true","28","0","13","true"
"29","145532","54","true","29","-325200.33349420445","25","true","29","-179668.33349420445","0","true","29","0","13","true"
"30","130752.00000000003","54","true","30","-332315.59937985224","25","true","30","-201563.5993798522","0","true","30","0","13","true"
"31","124252.00000000001","54","true","31","584195.8618463716","25","true","31","708447.8618463716","0","true","31","0","13","true"
"32","194462","54","true","32","-11818.965992681973","25","true","32","182643.03400731803","0","true","32","0","13","true"
"33","223942","54","true","33","-13385.965553345013","25","true","33","210556.03444665502","0","true","33","0","13","true"
"34","154872.00000000003","54","true","34","-14937.29511840141","25","true","34","139934.70488159862","0","true","34","0","13","true"
"35","-3956.999999999942","54","true","35","-16473.111387807236","25","true","35","-20430.111387807177","0","true","35","0","13","true"
"36","93573.5","54","true","36","-17993.569494519004","25","true","36","75579.930505481","0","true","36","0","13","true"
"37","156078.00000000003","54","true","37","-168106.82302016366","25","true","37","-12028.82302016364","0","true","37","0","13","true"
"38","55556.500000000044","54","true","38","-169597.0240105519","25","true","38","-114040.52401055185","0","true","38","0","13","true"
"39","29909.00000000008","54","true","39","-171072.3229910362","25","true","39","-141163.3229910361","0","true","39","0","13","true"
"40","52026.000000000015","54","true","40","-172532.86898171567","25","true","40","-120506.86898171568","0","true","40","0","13","true"
"41","93885.73000000004","54","true","41","-273196.40951248835","25","true","41","-179310.67951248834","0","true","41","0","13","true"
"42","101346.82000000002","54","true","42","-281218.9146379534","25","true","42","-179872.09463795336","0","true","42","0","13","true"
"43","77899.58000000005","54","true","43","-289161.19471216365","25","true","43","-211261.6147121636","0","true","43","0","13","true"
"44","61446.12000000003","54","true","44","-297024.05198563193","25","true","44","-235577.93198563188","0","true","44","0","13","true"
"45","26616.14000000002","54","true","45","-304808.28068636544","25","true","45","-278192.1406863654","0","true","45","0","13","true"
"46","-5285.6799999999785","54","true","46","-312514.6671000917","25","true","46","-317800.34710009163","0","true","46","0","13","true"
"47","-30416.589999999986","54","true","47","-320143.9896496807","25","true","47","-350560.57964968064","0","true","47","0","13","true"
"48","-63724.32999999998","54","true","48","-327697.0189737738","25","true","48","-391421.3489737738","0","true","48","0","13","true"
"49","-96619.68","54","true","49","-335174.51800462586","25","true","49","-431794.19800462585","0","true","49","0","13","true"
"50","-5083.999999999985","54","true","50","-342577.24204516946","25","true","50","-347661.24204516946","0","true","50","0","13","true"
"51","-113490.13999999997","54","true","51","-274206.52590370155","25","true","51","-387696.66590370156","0","true","51","0","13","true"
"52","81332.00000000001","54","true","52","-281831.7298652544","25","true","52","-200499.72986525443","0","true","52","0","13","true"
"53","-20496.999999999975","54","true","53","-289380.68178719166","25","true","53","-309877.68178719166","0","true","53","0","13","true"
"54","-38433.81999999998","54","true","54","-296854.14418990957","25","true","54","-335287.9641899096","0","true","54","0","13","true"
"55","-108007.07999999999","54","true","55","-304252.8719686004","25","true","55","-412259.95196860033","0","true","55","0","13","true"
"56","-105398.49999999997","54","true","56","-350297.6124695042","25","true","56","-455696.1124695041","0","true","56","0","13","true"
"57","-105663.07999999999","54","true","57","-357549.105565399","25","true","57","-463212.18556539895","0","true","57","0","13","true"
"58","-105808.49999999997","54","true","58","-364728.083730335","25","true","58","-470536.583730335","0","true","58","0","13","true"
"59","-105663.07999999999","54","true","59","-371835.27211362147","25","true","59","-477498.3521136215","0","true","59","0","13","true"
"60","-32892.99999999997","54","true","60","-378871.3886130751","25","true","60","-411764.3886130751","0","true","60","0","13","true"
"61","-86820.99999999997","54","true","61","576438.430505481","25","true","61","489617.43050548097","0","true","61","0","13","true"
"62","-56658.99999999996","54","true","62","-19498.82302016366","25","true","62","-76157.82302016363","0","true","62","0","13","true"
"63","-108469.43999999997","54","true","63","-20989.02401055189","25","true","63","-129458.46401055186","0","true","63","0","13","true"
"64","-120749.49999999997","54","true","64","-22464.3229910362","25","true","64","-143213.8229910362","0","true","64","0","13","true"
"65","-102819.07999999999","54","true","65","-23924.86898171567","25","true","65","-126743.94898171566","0","true","65","0","13","true"
"66","-116585.07999999999","54","true","66","-25370.80951248837","25","true","66","-141955.88951248836","0","true","66","0","13","true"
"67","-113725.07999999999","54","true","67","-175410.29063795332","25","true","67","-289135.3706379533","0","true","67","0","13","true"
"68","-4553.999999999985","54","true","68","-176827.45695216363","25","true","68","-181381.45695216363","0","true","68","0","13","true"
"69","-23601.519999999968","54","true","69","-178230.45160323186","25","true","69","-201831.97160323185","0","true","69","0","13","true"
"70","124922.00000000001","54","true","70","-179619.4163077894","25","true","70","-54697.416307789375","0","true","70","0","13","true"
"71","40997.00000000007","54","true","71","-280212.0913653013","25","true","71","-239215.09136530122","0","true","71","0","13","true"
"72","130603.50000000001","54","true","72","-288164.4396722382","25","true","72","-157560.9396722382","0","true","72","0","13","true"
"73","29586.000000000015","54","true","73","-296037.2644961057","25","true","73","-266451.2644961057","0","true","73","0","13","true"
"74","185282.00000000003","54","true","74","-303831.3610717345","25","true","74","-118549.36107173449","0","true","74","0","13","true"
"75","76706.50000000004","54","true","75","-311547.516681607","25","true","75","-234841.016681607","0","true","75","0","13","true"
"76","163354","54","true","76","-243487.09779377477","25","true","76","-80133.09779377478","0","true","76","0","13","true"
"77","86715.44","54","true","77","-251419.49603642692","25","true","77","-164704.05603642695","0","true","77","0","13","true"
"78","60071.77000000001","54","true","78","-259272.57029665253","25","true","78","-199200.8002966525","0","true","78","0","13","true"
"79","62029.820000000014","54","true","79","-267047.1138142758","25","true","79","-205017.29381427582","0","true","79","0","13","true"
"80","26551.55000000001","54","true","80","-274743.9118967229","25","true","80","-248192.36189672293","0","true","80","0","13","true"
"81","8235.250000000022","54","true","81","-321083.74199834553","25","true","81","-312848.49199834553","0","true","81","0","13","true"
"82","-12412.669999999987","54","true","82","-328627.37379895203","25","true","82","-341040.043798952","0","true","82","0","13","true"
"83","265.8400000000256","54","true","83","-336095.56928155234","25","true","83","-335829.7292815523","0","true","83","0","13","true"
"84","-64733.36999999998","54","true","84","-343489.0828093266","25","true","84","-408222.4528093265","0","true","84","0","13","true"
"85","-100267.99999999997","54","true","85","-350808.6612018232","25","true","85","-451076.6612018232","0","true","85","0","13","true"
"86","-113869.07999999999","54","true","86","-358055.0438103948","25","true","86","-471924.12381039484","0","true","86","0","13","true"
"87","-115689.07999999999","54","true","87","-365228.9625928807","25","true","87","-480918.0425928807","0","true","87","0","13","true"
"88","-117161.07999999999","54","true","88","-372331.1421875418","25","true","88","-489492.22218754183","0","true","88","0","13","true"
"89","20448.000000000022","54","true","89","-379362.2999862563","25","true","89","-358914.2999862563","0","true","89","0","13","true"
