"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 14:04:06:911 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP4.5""","500","1100","1","30","4","1","90","""GCM""","200","0.03","0","6","2","30","125","25","8","1350","125","42","1","30","0.03"

"""Crop Groundwater Irrigation"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","25.3","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","14","42.5","true","1","7","24","true","1","0","53","true","1","15","32","true"
"2","9","42.5","true","2","9","24","true","2","0","53","true","2","13","32","true"
"3","18","42.5","true","3","18","24","true","3","0","53","true","3","12","32","true"
"4","23","42.5","true","4","12","24","true","4","0","53","true","4","14","32","true"
"5","24","42.5","true","5","18","24","true","5","0","53","true","5","16","32","true"
"6","18","42.5","true","6","15","24","true","6","0","53","true","6","14","32","true"
"7","13","42.5","true","7","10","24","true","7","0","53","true","7","9","32","true"
"8","7","42.5","true","8","12","24","true","8","0","53","true","8","7","32","true"
"9","4","42.5","true","9","12","24","true","9","0","53","true","9","8","32","true"
"10","14","42.5","true","10","12","24","true","10","0","53","true","10","17","32","true"
"11","13.7","42.5","true","11","12.4","24","true","11","0","53","true","11","16.5","32","true"
"12","14.9","42.5","true","12","12.5","24","true","12","0","53","true","12","16.2","32","true"
"13","13.6","42.5","true","13","11","24","true","13","0","53","true","13","15.1","32","true"
"14","14.2","42.5","true","14","12.4","24","true","14","0","53","true","14","15.8","32","true"
"15","13.4","42.5","true","15","11.6","24","true","15","0","53","true","15","14.9","32","true"
"16","12.3","42.5","true","16","10.4","24","true","16","0","53","true","16","14.8","32","true"
"17","13.3","42.5","true","17","12","24","true","17","0","53","true","17","15.4","32","true"
"18","13.3","42.5","true","18","9.5","24","true","18","0","53","true","18","15.6","32","true"
"19","14.3","42.5","true","19","9","24","true","19","0","53","true","19","15.2","32","true"
"20","13.3","42.5","true","20","14.6","24","true","20","0","53","true","20","15.4","32","true"
"21","14","42.5","true","21","12","24","true","21","0","53","true","21","17","32","true"
"22","13.4","42.5","true","22","13.1","24","true","22","0","53","true","22","14.9","32","true"
"23","12.9","42.5","true","23","11.3","24","true","23","0","53","true","23","14.9","32","true"
"24","12.6","42.5","true","24","12.9","24","true","24","0","53","true","24","13.9","32","true"
"25","15.3","42.5","true","25","13.6","24","true","25","0","53","true","25","16.9","32","true"
"26","15.3","42.5","true","26","12.6","24","true","26","0","53","true","26","17.2","32","true"
"27","14.3","42.5","true","27","12.1","24","true","27","0","53","true","27","15.8","32","true"
"28","15","42.5","true","28","13.2","24","true","28","0","53","true","28","15.5","32","true"
"29","14.9","42.5","true","29","11.4","24","true","29","0","53","true","29","16.7","32","true"
"30","14.2","42.5","true","30","13.1","24","true","30","0","53","true","30","16.3","32","true"
"31","15.8","42.5","true","31","14.4","24","true","31","0","53","true","31","15.6","32","true"
"32","13.9","42.5","true","32","12.6","24","true","32","0","53","true","32","15.7","32","true"
"33","13.2","42.5","true","33","12.2","24","true","33","0","53","true","33","14.7","32","true"
"34","15.2","42.5","true","34","11.1","24","true","34","0","53","true","34","17.1","32","true"
"35","13","42.5","true","35","11.4","24","true","35","0","53","true","35","15.1","32","true"
"36","13.6","42.5","true","36","11.5","24","true","36","0","53","true","36","15.4","32","true"
"37","13.6","42.5","true","37","11.6","24","true","37","0","53","true","37","15.3","32","true"
"38","13.9","42.5","true","38","15.2","24","true","38","0","53","true","38","16","32","true"
"39","16.9","42.5","true","39","14.3","24","true","39","0","53","true","39","18.5","32","true"
"40","14.4","42.5","true","40","13.4","24","true","40","0","53","true","40","15.9","32","true"
"41","14.1","42.5","true","41","13.5","24","true","41","0","53","true","41","15.4","32","true"
"42","14.7","42.5","true","42","12.7","24","true","42","0","53","true","42","16.5","32","true"
"43","14.6","42.5","true","43","12.7","24","true","43","0","53","true","43","16.1","32","true"
"44","13.7","42.5","true","44","14.4","24","true","44","0","53","true","44","15.2","32","true"
"45","14.4","42.5","true","45","12.8","24","true","45","0","53","true","45","16.1","32","true"
"46","12.7","42.5","true","46","12.9","24","true","46","0","53","true","46","16.3","32","true"
"47","15","42.5","true","47","13.7","24","true","47","0","53","true","47","15.7","32","true"
"48","15.5","42.5","true","48","12.7","24","true","48","0","53","true","48","16.2","32","true"
"49","12.7","42.5","true","49","12.6","24","true","49","0","53","true","49","15.2","32","true"
"50","13.9","42.5","true","50","12.6","24","true","50","0","53","true","50","16.2","32","true"
"51","14.6","42.5","true","51","13.4","24","true","51","0","53","true","51","16.8","32","true"
