"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 14:04:06:915 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP4.5""","500","1100","1","30","4","1","90","""GCM""","200","0.03","0","6","2","30","125","25","8","1350","125","42","1","30","0.03"

"""Energy Net Income"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","1370000","true","""Wind        ""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Wind        ""","true","0","1","104","89"
"""Solar""","true","0","1","14","89"
"""US$0""","true","2","1","13","89"

"""Wind        """,,,,"""Solar""",,,,"""US$0"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","104","true","0","0","14","true","0","0","13","true"
"1","1244844.799341272","104","true","1","111381.07859974322","14","true","1","0","13","true"
"2","650412.7993412722","104","true","2","109410.07859974322","14","true","2","0","13","true"
"3","650412.7993412722","104","true","3","107458.78859974322","14","true","3","0","13","true"
"4","650412.7993412722","104","true","4","105527.01149974321","14","true","4","0","13","true"
"5","650412.7993412722","104","true","5","103614.5521707432","14","true","5","0","13","true"
"6","650412.7993412722","104","true","6","63001.217435033206","14","true","6","0","13","true"
"7","501804.7993412722","104","true","7","61126.816046680295","14","true","7","0","13","true"
"8","501804.7993412722","104","true","8","59271.158672210906","14","true","8","0","13","true"
"9","501804.7993412722","104","true","9","57434.057871486206","14","true","9","0","13","true"
"10","501804.7993412722","104","true","10","55615.3280787688","14","true","10","0","13","true"
"11","360258.8793412723","104","true","11","53814.78558397852","14","true","11","0","13","true"
"12","347146.2105412722","104","true","12","52032.248514136154","14","true","12","0","13","true"
"13","334164.66842927213","104","true","13","50267.53681499223","14","true","13","0","13","true"
"14","321312.9417383921","104","true","14","48520.47223283973","14","true","14","0","13","true"
"15","308589.732314421","104","true","15","46790.878296508774","14","true","15","0","13","true"
"16","295993.7549846895","104","true","16","45078.58029954112","14","true","16","0","13","true"
"17","283523.73742825526","104","true","17","43383.40528254316","14","true","17","0","13","true"
"18","271178.4200473855","104","true","18","41705.18201571514","14","true","18","0","13","true"
"19","258956.5558403245","104","true","19","40043.74098155543","14","true","19","0","13","true"
"20","246856.9102753339","104","true","20","38398.91435773729","14","true","20","0","13","true"
"21","234878.26116599317","104","true","21","36770.53600015736","14","true","21","0","13","true"
"22","223019.3985477459","104","true","22","35158.44142615321","14","true","22","0","13","true"
"23","211279.12455568125","104","true","23","33562.46779788911","14","true","23","0","13","true"
"24","199656.25330353703","104","true","24","31982.453905907634","14","true","24","0","13","true"
"25","188149.61076391453","104","true","25","30418.240152846003","14","true","25","0","13","true"
"26","176758.03464968794","104","true","26","111381.07859974322","14","true","26","0","13","true"
"27","165480.37429660384","104","true","27","109410.07859974322","14","true","27","0","13","true"
"28","154315.4905470506","104","true","28","107458.78859974322","14","true","28","0","13","true"
"29","143262.25563499273","104","true","29","105527.01149974321","14","true","29","0","13","true"
"30","132319.55307205569","104","true","30","103614.5521707432","14","true","30","0","13","true"
"31","1244844.799341272","104","true","31","63001.217435033206","14","true","31","0","13","true"
"32","650412.7993412722","104","true","32","61126.816046680295","14","true","32","0","13","true"
"33","650412.7993412722","104","true","33","59271.158672210906","14","true","33","0","13","true"
"34","650412.7993412722","104","true","34","57434.057871486206","14","true","34","0","13","true"
"35","650412.7993412722","104","true","35","55615.3280787688","14","true","35","0","13","true"
"36","650412.7993412722","104","true","36","53814.78558397852","14","true","36","0","13","true"
"37","501804.7993412722","104","true","37","52032.248514136154","14","true","37","0","13","true"
"38","501804.7993412722","104","true","38","50267.53681499223","14","true","38","0","13","true"
"39","501804.7993412722","104","true","39","48520.47223283973","14","true","39","0","13","true"
"40","501804.7993412722","104","true","40","46790.878296508774","14","true","40","0","13","true"
"41","360258.8793412723","104","true","41","45078.58029954112","14","true","41","0","13","true"
"42","347146.2105412722","104","true","42","43383.40528254316","14","true","42","0","13","true"
"43","334164.66842927213","104","true","43","41705.18201571514","14","true","43","0","13","true"
"44","321312.9417383921","104","true","44","40043.74098155543","14","true","44","0","13","true"
"45","308589.732314421","104","true","45","38398.91435773729","14","true","45","0","13","true"
"46","295993.7549846895","104","true","46","36770.53600015736","14","true","46","0","13","true"
"47","283523.73742825526","104","true","47","35158.44142615321","14","true","47","0","13","true"
"48","271178.4200473855","104","true","48","33562.46779788911","14","true","48","0","13","true"
"49","258956.5558403245","104","true","49","31982.453905907634","14","true","49","0","13","true"
"50","246856.9102753339","104","true","50","30418.240152846003","14","true","50","0","13","true"
"51","234878.26116599317","104","true","51","111381.07859974322","14","true","51","0","13","true"
"52","223019.3985477459","104","true","52","109410.07859974322","14","true","52","0","13","true"
"53","211279.12455568125","104","true","53","107458.78859974322","14","true","53","0","13","true"
"54","199656.25330353703","104","true","54","105527.01149974321","14","true","54","0","13","true"
"55","188149.61076391453","104","true","55","103614.5521707432","14","true","55","0","13","true"
"56","176758.03464968794","104","true","56","63001.217435033206","14","true","56","0","13","true"
"57","165480.37429660384","104","true","57","61126.816046680295","14","true","57","0","13","true"
"58","154315.4905470506","104","true","58","59271.158672210906","14","true","58","0","13","true"
"59","143262.25563499273","104","true","59","57434.057871486206","14","true","59","0","13","true"
"60","132319.55307205569","104","true","60","55615.3280787688","14","true","60","0","13","true"
"61","1244844.799341272","104","true","61","53814.78558397852","14","true","61","0","13","true"
"62","650412.7993412722","104","true","62","52032.248514136154","14","true","62","0","13","true"
"63","650412.7993412722","104","true","63","50267.53681499223","14","true","63","0","13","true"
"64","650412.7993412722","104","true","64","48520.47223283973","14","true","64","0","13","true"
"65","650412.7993412722","104","true","65","46790.878296508774","14","true","65","0","13","true"
"66","650412.7993412722","104","true","66","45078.58029954112","14","true","66","0","13","true"
"67","501804.7993412722","104","true","67","43383.40528254316","14","true","67","0","13","true"
"68","501804.7993412722","104","true","68","41705.18201571514","14","true","68","0","13","true"
"69","501804.7993412722","104","true","69","40043.74098155543","14","true","69","0","13","true"
"70","501804.7993412722","104","true","70","38398.91435773729","14","true","70","0","13","true"
"71","360258.8793412723","104","true","71","36770.53600015736","14","true","71","0","13","true"
"72","347146.2105412722","104","true","72","35158.44142615321","14","true","72","0","13","true"
"73","334164.66842927213","104","true","73","33562.46779788911","14","true","73","0","13","true"
"74","321312.9417383921","104","true","74","31982.453905907634","14","true","74","0","13","true"
"75","308589.732314421","104","true","75","30418.240152846003","14","true","75","0","13","true"
"76","295993.7549846895","104","true","76","111381.07859974322","14","true","76","0","13","true"
"77","283523.73742825526","104","true","77","109410.07859974322","14","true","77","0","13","true"
"78","271178.4200473855","104","true","78","107458.78859974322","14","true","78","0","13","true"
"79","258956.5558403245","104","true","79","105527.01149974321","14","true","79","0","13","true"
"80","246856.9102753339","104","true","80","103614.5521707432","14","true","80","0","13","true"
"81","234878.26116599317","104","true","81","63001.217435033206","14","true","81","0","13","true"
"82","223019.3985477459","104","true","82","61126.816046680295","14","true","82","0","13","true"
"83","211279.12455568125","104","true","83","59271.158672210906","14","true","83","0","13","true"
"84","199656.25330353703","104","true","84","57434.057871486206","14","true","84","0","13","true"
"85","188149.61076391453","104","true","85","55615.3280787688","14","true","85","0","13","true"
"86","176758.03464968794","104","true","86","53814.78558397852","14","true","86","0","13","true"
"87","165480.37429660384","104","true","87","52032.248514136154","14","true","87","0","13","true"
"88","154315.4905470506","104","true","88","50267.53681499223","14","true","88","0","13","true"
"89","143262.25563499273","104","true","89","48520.47223283973","14","true","89","0","13","true"
