"export-plot data (NetLogo 6.3.0)"
"FEWCalc_Export_Test.nlogo"
"07/02/2024 13:31:41:807 -0500"

"MODEL SETTINGS"
"interest","energy_value","capacity_s","climate_model","corn_area","cost_s","degrade_s","nyear_w","#wind_turbines","loan_term","simulation_period","future_process","aquifer_thickness","ptc_w","soybeans_area","sun_hrs","capacity_w","min_aq_thickness","wheat_area","nyear_s","#panel_sets","cost_w","sg_area","wind_factor","degrade_w","itc_s","ptc_s"
"3","45","250","""RCP4.5""","150","1100","1","30","4","1","90","""GCM""","200","0.03","200","6","2","30","200","25","8","1350","200","42","1","30","0.03"

"""Crop Production"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","96.3","0","276","true","""Corn""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Corn""","true","0","1","42.5","89"
"""Wheat""","true","0","1","24","89"
"""Soybeans""","true","0","1","53","89"
"""SG""","true","0","1","32","89"

"""Corn""",,,,"""Wheat""",,,,"""Soybeans""",,,,"""SG"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","42.5","true","0","0","24","true","0","0","53","true","0","0","32","true"
"1","213","42.5","true","1","77","24","true","1","92","53","true","1","119","32","true"
"2","251","42.5","true","2","70","24","true","2","93","53","true","2","130","32","true"
"3","206","42.5","true","3","65","24","true","3","97","53","true","3","85","32","true"
"4","144","42.5","true","4","68","24","true","4","90","53","true","4","68","32","true"
"5","168","42.5","true","5","67","24","true","5","93","53","true","5","95","32","true"
"6","205","42.5","true","6","71","24","true","6","91","53","true","6","127","32","true"
"7","207","42.5","true","7","79","24","true","7","96","53","true","7","121","32","true"
"8","233","42.5","true","8","75","24","true","8","95","53","true","8","129","32","true"
"9","233","42.5","true","9","69","24","true","9","96","53","true","9","113","32","true"
"10","223","42.5","true","10","74","24","true","10","97","53","true","10","134","32","true"
"11","188.11","42.5","true","11","77.31","24","true","11","93.27","53","true","11","121.96","32","true"
"12","181.1","42.5","true","12","77.7","24","true","12","91.27","53","true","12","120.17","32","true"
"13","173.35","42.5","true","13","81.32","24","true","13","91.31","53","true","13","120.69","32","true"
"14","185.61","42.5","true","14","80.37","24","true","14","92.05","53","true","14","119.81","32","true"
"15","173.14","42.5","true","15","78.61","24","true","15","92.05","53","true","15","122.67","32","true"
"16","178.6","42.5","true","16","75.7","24","true","16","91.5","53","true","16","120.89","32","true"
"17","166.86","42.5","true","17","77.44","24","true","17","89.83","53","true","17","118.93","32","true"
"18","165.49","42.5","true","18","73.31","24","true","18","88.5","53","true","18","119.15","32","true"
"19","164.37","42.5","true","19","82.47","24","true","19","89.6","53","true","19","117.4","32","true"
"20","170","42.5","true","20","73.62","24","true","20","89.17","53","true","20","117.29","32","true"
"21","144.25","42.5","true","21","74.2","24","true","21","85.41","53","true","21","112.66","32","true"
"22","177.01","42.5","true","22","77.06","24","true","22","88.31","53","true","22","118.05","32","true"
"23","161.91","42.5","true","23","76.99","24","true","23","88.39","53","true","23","118.62","32","true"
"24","171.97","42.5","true","24","77.52","24","true","24","89.96","53","true","24","117.43","32","true"
"25","153.61","42.5","true","25","74.31","24","true","25","87.87","53","true","25","114.22","32","true"
"26","142.15","42.5","true","26","75.37","24","true","26","86.63","53","true","26","114.83","32","true"
"27","158.99","42.5","true","27","76.55","24","true","27","87.19","53","true","27","115.74","32","true"
"28","149.47","42.5","true","28","73.77","24","true","28","85.61","53","true","28","113.55","32","true"
"29","147.25","42.5","true","29","79.51","24","true","29","84.1","53","true","29","113.1","32","true"
"30","148.43","42.5","true","30","77.16","24","true","30","86.56","53","true","30","110.32","32","true"
"31","149.52","42.5","true","31","67.68","24","true","31","86.96","53","true","31","111.18","32","true"
"32","140.3","42.5","true","32","74.13","24","true","32","84.6","53","true","32","111.65","32","true"
"33","150.11","42.5","true","33","70.44","24","true","33","86.45","53","true","33","113.05","32","true"
"34","128.62","42.5","true","34","77.76","24","true","34","84.35","53","true","34","108.84","32","true"
"35","164.93","42.5","true","35","72.26","24","true","35","85.39","53","true","35","113.91","32","true"
"36","149.5","42.5","true","36","77.24","24","true","36","86.77","53","true","36","112.26","32","true"
"37","169.12","42.5","true","37","75.97","24","true","37","89.76","53","true","37","118.57","32","true"
"38","154.8","42.5","true","38","69.44","24","true","38","85.13","53","true","38","109.93","32","true"
"39","117.32","42.5","true","39","72.08","24","true","39","81.17","53","true","39","107.22","32","true"
"40","135.36","42.5","true","40","74.77","24","true","40","82.43","53","true","40","100.93","32","true"
"41","150.74","42.5","true","41","73.36","24","true","41","86.02","53","true","41","112.58","32","true"
"42","129.37","42.5","true","42","75.4","24","true","42","83.93","53","true","42","106.45","32","true"
"43","156.29","42.5","true","43","71.83","24","true","43","84.23","53","true","43","110.24","32","true"
"44","146.63","42.5","true","44","72.59","24","true","44","82.5","53","true","44","111.41","32","true"
"45","130.05","42.5","true","45","72.97","24","true","45","83.55","53","true","45","107.62","32","true"
"46","150.19","42.5","true","46","69.9","24","true","46","83.57","53","true","46","109.97","32","true"
"47","59.46","42.5","true","47","29.82","24","true","47","12.7","53","true","47","45.99","32","true"
"48","47.52","42.5","true","48","32.53","24","true","48","17.49","53","true","48","40.22","32","true"
"49","56.93","42.5","true","49","37.35","24","true","49","17.06","53","true","49","41.88","32","true"
"50","45.51","42.5","true","50","32.96","24","true","50","11.82","53","true","50","33.15","32","true"
"51","48.51","42.5","true","51","33.15","24","true","51","7.53","53","true","51","30.13","32","true"
"52","51.67","42.5","true","52","42.89","24","true","52","8.26","53","true","52","41.45","32","true"
"53","57.94","42.5","true","53","39.69","24","true","53","18.49","53","true","53","43.9","32","true"
"54","71.03","42.5","true","54","31.23","24","true","54","17.43","53","true","54","51.83","32","true"
"55","43.03","42.5","true","55","30.45","24","true","55","8.46","53","true","55","38.28","32","true"
"56","52.21","42.5","true","56","36.97","24","true","56","10.65","53","true","56","34.51","32","true"
"57","40.76","42.5","true","57","37.95","24","true","57","13.67","53","true","57","33.06","32","true"
"58","41.51","42.5","true","58","29.25","24","true","58","7.97","53","true","58","31.03","32","true"
"59","54.05","42.5","true","59","38.72","24","true","59","15.4","53","true","59","49.05","32","true"
"60","59.72","42.5","true","60","32.21","24","true","60","14.25","53","true","60","42.03","32","true"
"61","48.97","42.5","true","61","29.1","24","true","61","7","53","true","61","31.05","32","true"
"62","45.38","42.5","true","62","32.68","24","true","62","6.18","53","true","62","30.34","32","true"
"63","52.67","42.5","true","63","36.12","24","true","63","10.97","53","true","63","38.79","32","true"
"64","51.95","42.5","true","64","32.8","24","true","64","12.74","53","true","64","37.1","32","true"
"65","39.04","42.5","true","65","40.63","24","true","65","5.29","53","true","65","28.33","32","true"
"66","63.43","42.5","true","66","34.6","24","true","66","19.68","53","true","66","49.3","32","true"
"67","50.77","42.5","true","67","25.08","24","true","67","7.2","53","true","67","39.77","32","true"
"68","45.25","42.5","true","68","32.97","24","true","68","3.83","53","true","68","29.08","32","true"
"69","39.3","42.5","true","69","34.82","24","true","69","9.09","53","true","69","37.73","32","true"
"70","32.78","42.5","true","70","42.57","24","true","70","11.24","53","true","70","32.32","32","true"
"71","60.96","42.5","true","71","33.32","24","true","71","11.91","53","true","71","36.14","32","true"
"72","54.29","42.5","true","72","37.79","24","true","72","9.87","53","true","72","39.79","32","true"
"73","64.6","42.5","true","73","35.99","24","true","73","21.14","53","true","73","52.23","32","true"
"74","51.69","42.5","true","74","32.1","24","true","74","20.19","53","true","74","43.55","32","true"
"75","53.28","42.5","true","75","30.98","24","true","75","11.37","53","true","75","44.06","32","true"
"76","113.08","42.5","true","76","68.09","24","true","76","78.88","53","true","76","101.78","32","true"
"77","141.67","42.5","true","77","71.63","24","true","77","84.48","53","true","77","109.55","32","true"
"78","124.26","42.5","true","78","63.4","24","true","78","80.38","53","true","78","104.57","32","true"
